Sponge_ID,Reef,Month,Avg_DaysPaired,Avg_TotalLays,Avg_Output,Avg_Clutch_Hatch,Avg_Clutch_Size,Male_StandardLength_mm,Longest_Length_cm
522,CC,2,56,3,3,0.67,1.67,41.2, 
525,SW,2,0.5,1.5,2,1,1.33,36.8,40
526,SW,1,4,1,2,1,2,43.3,55
529,SW,2,17,3.5,7.3,1,2.07,52,58
530,SW,2,15.5,2.5,3.3,0.5,1.75,52.7,56
531,SW,2,1.5,1.5,3.3,1,2.17, ,81
532,SW,2,7.5,3.5,5.3,1,1.5,36.1,34
534,SW,2,2.5,2,5,1,2.5, ,61
535,SW,2,1,3,5,0.83,2,45.3,41
536,SW,2,28.5,2,4.5,1,2.25,44.9,52
537,SW,2,5,3,4,0.83,1.5,39.1,38
539,SW,2,1,2.5,5.3,1,2.1,41.1,33
540,SW,2,28.5,1,0,0,1.25,44.9,40
541,SW,2,19,1.5,3,1,2,48.6,41
542,SW,2,11.5,2,3.3,1,1.63,41.4,41
543,SW,2,1.5,2.5,5,1,2,27,54
544,SW,2,2,1,1,1,1,42.2,68
545,SW,2,0.5,2,2.5,1,1.25,36.7,25
546,SW,2,0,2,0,0,1,42.3,18
549,SW,2,0,1.5,2.8,1,1.83,36.9,43
550,SW,1,0,2,4,1,2,29.8,47
553,SW,2,0.5,1.5,2,1,1.33,41.1,46
554,SW,2,2.5,1,2,1,2,47.7,65
555,SW,2,5.5,1.5,3,1,2,36.1,29
556,SW,1,10,3,6,1,2,44.7,39
558,SW,2,1.5,2,3.8,1,1.88,49.4,46
559,SW,2,6.5,2,4,1,2,41.2,68
561,SW,2,3.5,2.5,4.3,1,1.7,42.9,36
563,SW,2,1,2,0,0,1,44.1,53
567,SW,2,0,2,1.8,1,0.88,38.7,43
569,SW,2,16,2.5,5.3,1,2.1,39.6,66
570,SW,2,0,1,1,1,1,38.4,31
572,SW,2,0,1,1,1,1,39,40
573,SW,1,0,2,4,1,2,27,48
575,SW,2,11.5,5,10.8,1,2.15,49.5,30
576,SW,2,0,1,0,0,2,41.3,63
577,CB,2,2.5,1.5,2.5,1,1.67,43.6,57
579,CB,2,0,1,1.5,1,1.5,35.5,36.5
580,CB,2,3,3,6,1,2,38,29.5
581,CC,1,0,2,1,0.5,1.5,42,57
612,CB,2,9.5,2,4,1,2,41.3,28
613,CB,2,1.5,2,2,0.75,1.25,51.2,41
616,CB,2,3.5,3,5,1,1.67,52.9,43
617,CB,2,12,1,1.5,1,1.5,47.1,71
618,CB,2,0,1,1.5,1,1.5,48.1,39
619,CB,2,0,1.5,2.3,1,1.5,47.2,35
620,CB,2,0.5,1,1,1,1.5,45.5,53
624,CB,1,4,3,6,1,2,37.7,40
626,CB,1,29,3,0,0,2.67, ,61
627,CB,2,7.5,2,4,1,2, ,30
628,CB,2,3.5,3,4.8,0.83,1.67,50,35
629,CB,2,7.5,4,8,1,2,54.7,55
630,CB,1,0,1,0,0,3,22,30
631,CB,2,9.5,3,4.5,0.83,1.83,42,32
633,CB,1,15,1,2,1,2,36.6,46
635,CB,2,15,1.5,2,0.67,1.67,29.1,23
636,CB,1,1,3,4,0.67,2,28.3,46
637,CB,1,21,2,3,1,1.5,28.4,27
638,CB,2,2,3.5,5.5,0.86,1.86,55.9,44
643,CC,1,9,3,6,1,2, ,52
644,CC,1,6,2,2,0.5,2.25,55.5,29
649,CC,1,19,4,6.5,1,1.63,44.1,26
650,CC,2,30,2.5,4,1,1.6,50.4,38
651,CC,1,26,3,6,1,2,32.7,36
652,CC,2,4,3.5,6.5,1,1.86,49.2,42
654,CC,2,25,2.5,4.3,1,1.7, ,27
657,CC,2,20,2,3,0.75,2, ,56
660,CC,2,2.5,2.5,4.5,1,1.8,42.1,42
661,CC,2,26.5,3,4.5,0.83,1.58,54.4,27
662,CC,2,10,1.5,2.3,1,1.5,48.3,49
663,CC,2,28,3,8,1,2.42,52.7,69
664,CC,2,14,3.5,4.8,0.71,1.79,46,45
665,CC,2,3,2.5,3.5,0.8,1.6,45.7,49
666,CC,2,16,2,3.3,1,1.63,50.1,50
667,CC,2,7.5,4,5.5,0.75,1.88,48,51
668,CC,2,28.5,2,8,0.75,2.63,55,56
669,CC,2,10,1,1.3,1,1.25,53.3,72
671,CC,2,29.5,2,3.5,1,1.75,47.2,65
673,CC,2,13,2.5,1.5,0.4,1.5,45.5,68
674,CC,1,14,3,6,1,2,44.6,24
676,CC,2,1.5,1.5,2.5,1,1.67,49.1,74
677,CC,2,5.5,2.5,4.3,1,1.7,40,25
678,CC,2,6.5,3,5.5,1,1.83, ,40
679,CC,2,1.5,3,4.8,1,1.58, ,28
680,CC,2,2,3,4.5,1,1.5,43,61
685,CC,2,29,3,4.5,1,1.5,48.3,31
686,CC,2,0,1,1.8,1,1.75,39.8,27
692,CB,2,28.5,2.5,5,1,2,51.1,65
693,CB,2,17.5,1,1.3,0.5,1.75,44.7,60
696,CC,1,27,3,5,1,1.67,42,43
697,CC,2,24,2,3,0.75,2.13,54.1,28
699,SW,2,22,2,2,1,1, ,54
533B,SW,2,9,2,1,0.5,1,42.9,40
552B,SW,2,2,2,2.5,1,1.25,41.5,60
571B,SW,2,1,2,3,1,1.5,45.2,69
632A,CB,1,2,3,5.5,1,1.83,,43
640A,CB,1,13,1,2,1,2,,38
691B,CB,2,21,3,5.5,1,1.83,51,39
